City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
644,Rock Sound,BS,78.42,24.9,-76.2,Pink Corral Bay Property
648,Lobito,AO,78.66,-12.3481,13.5456,Casa Rosa Hotel Residence
650,Sola,VU,81.97,-13.8833,167.55,Leumerus Bungalows
651,Harper,LR,84.83,4.375,-7.7169,Screensaver
655,Veraval,IN,86.86,20.9,70.3667,Lords Inn Somnath
656,Kieta,PG,76.8,-6.2167,155.6333,Uruna Bay Retreat
666,Celestun,MX,83.01,20.8667,-90.4,Posada Lilia
676,Gazanjyk,TM,75.33,39.2446,55.5154,Railway motel
677,Porto Nacional,BR,86.0,-10.7081,-48.4172,Vila Real Hotel
686,Ribas Do Rio Pardo,BR,87.64,-20.4431,-53.7592,Pousada Avenida
689,Nosy Varika,MG,78.67,-20.5833,48.5333,Hotel Volazara
692,Ghanzi,BW,86.34,-21.5667,21.7833,Ghanzi Farmhouse
696,Kirakira,SB,80.58,-10.4544,161.9205,SanBiz Lodge
698,Sao Jose Da Coroa Grande,BR,83.3,-8.8978,-35.1478,Crôa Mares Hotel
